invoice_number,status,invoice_date,submission_date,po_load,customer,customer_raw,age,invoice_amount,funded,reserves,reserves_excel,released_reserves,fees,carrier,carrier_invoice,carrier_pay,source_sheet,released,release_date,release_amount,release_source
37195,Funded,2026-01-02,2026-01-02,MT2026010200068,Gofo Inc,GOFO INC.,1.0,650.0,117.5,32.5,21.125,21.125,11.375,"ADOSCAR MOTORS EXPRESS, LLC",37195.0,500.0,JAN 2026 INV,true,,32.5,triumph
37127,Funded,2026-01-02,2026-01-02,MT2025122900009,Gofo Inc,GOFO INC.,14.0,7500.0,125.0,375.0,243.75,243.75,131.25,GOLD TREE TRANS INC,37127.0,7000.0,JAN 2026 INV,true,,375.0,triumph
37200,Funded,2026-01-05,2026-01-05,MT2026010300065,Gofo Inc,GOFO INC.,11.0,650.0,117.5,32.5,21.125,21.125,11.375,ANNUR TRANS LLC,37200.0,500.0,JAN 2026 INV,true,,32.5,triumph
37144,Funded,2026-01-05,2026-01-05,REF#TRANS RENTEX ANA-LV12/29-PO#INV13234,Rentex,"RENTEX, INC/ HQ",3.0,1600.0,120.0,80.0,52.0,52.0,28.0,ONE WAY LOGISTICS INC,37144.0,1400.0,JAN 2026 INV,true,,80.0,triumph
37197,Funded,2026-01-05,2026-01-05,EWRCNO150970101065 / MT2026010200181,Gofo Inc,GOFO INC.,11.0,8000.0,600.0,400.0,260.0,260.0,140.0,LAKE LOGISTICS INC,37197.0,7000.0,JAN 2026 INV,true,,400.0,triumph
37060,Funded,2026-01-06,2026-01-06,EV26-0089,Sierra Live Productions,SIERRA LIVE PRODUCTIONS L.L.C.,2.0,350.0,82.5,17.5,11.375,,6.125,BG 011 LLC,37060.0,250.0,JAN 2026 INV,false,,,
37196,Funded,2026-01-06,2026-01-06,EWRCNO150970101055 / MT2026010200184,Gofo Inc,GOFO INC.,10.0,8000.0,600.0,400.0,260.0,260.0,140.0,BANDRANA TRANSPORT INC,37196.0,7000.0,JAN 2026 INV,true,,400.0,triumph
37194,Funded,2026-01-06,2026-01-06,MT2026010100030,Gofo Inc,GOFO INC.,10.0,7500.0,125.0,375.0,243.75,243.75,131.25,GOLD BRIDGE INTERNATIONAL LLC,37194.0,7000.0,JAN 2026 INV,true,,375.0,triumph
37169,Funded,2026-01-06,2026-01-06,MT202512300009,Gofo Inc,GOFO INC.,10.0,7500.0,325.0,375.0,243.75,243.75,131.25,GOLD BRIDGE INTERNATIONAL LLC,37169.0,6800.0,JAN 2026 INV,true,,375.0,triumph
36882,Funded,2026-01-06,2026-01-06,PU# EWRCNO5301208025 / MT2025120900178,Gofo Inc,GOFO INC.,10.0,8750.0,12.5,437.5,284.375,284.375,153.125,SSL TRUCKING INC,36882.0,8300.0,JAN 2026 INV,true,,437.5,triumph
37220,Funded,2026-01-07,2026-01-07,EWRCNO150970103077/MT2026010400160,Gofo Inc,GOFO INC.,9.0,7300.0,435.0,365.0,237.25,237.25,127.75,STRAIGHT CARGO LLC,37220.0,6500.0,JAN 2026 INV,true,,365.0,triumph
37198,Funded,2026-01-07,2026-01-07,EWRCNO150970102017/ MT2026010300159,Gofo Inc,GOFO INC.,9.0,7300.0,310.0,365.0,237.25,237.25,127.75,SCR TRUCKING LLC,37198.0,6625.0,JAN 2026 INV,true,,365.0,triumph
37199,Funded,2026-01-07,2026-01-07,EWRCNO150970102018 / MT2026010300158,Gofo Inc,GOFO INC.,9.0,7300.0,285.0,365.0,237.25,237.25,127.75,SCR TRUCKING LLC,37199.0,6650.0,JAN 2026 INV,true,,365.0,triumph
37105,Funded,2026-01-07,2026-01-07,SPRINTER VAN,Sierra Live Productions,SIERRA LIVE PRODUCTIONS L.L.C.,1.0,875.0,406.25,43.75,28.4375,,15.3125,ANN LOGISTICS LLC,37105.0,425.0,JAN 2026 INV,false,,,
37115,Funded,2026-01-07,2026-01-07,REF#472217 | PO#INV132223,Rentex,"RENTEX, INC/ HQ",1.0,750.0,162.5,37.5,24.375,24.375,13.125,TRANSLOGIX LLC,37115.0,550.0,JAN 2026 INV,true,,37.5,triumph
37221,Funded,2026-01-07,2026-01-07,EWRCNO150970102078/MT2026010400159,Gofo Inc,GOFO INC.,9.0,7300.0,335.0,365.0,237.25,237.25,127.75,Q9 EXPRESS INC,37221.0,6600.0,JAN 2026 INV,true,,365.0,triumph
37113,Funded,2026-01-07,2026-01-07,REF# VEG-DAL-ORL | PO#INV132199,Rentex,"RENTEX, INC/ HQ",3.0,6900.0,55.0,345.0,224.25,224.25,120.75,TRUCKLAND INC,37113.0,6500.0,JAN 2026 INV,true,,345.0,triumph
37277,Funded,2026-01-08,2026-01-08,OG2026010600010 /,Gofo Inc,GOFO INC.,8.0,2500.0,175.0,125.0,81.25,81.25,43.75,EZGO INC,37277.0,2200.0,JAN 2026 INV,true,,125.0,triumph
36989,Funded,2026-01-08,2026-01-08,CLTCNO5301214020,Gofo Inc,GOFO INC.,8.0,500.0,225.0,25.0,16.25,16.25,8.75,DAR-US INC,36989.0,250.0,JAN 2026 INV,true,,25.0,triumph
37207,Funded,2026-01-09,2026-01-09,EV26-0089-TPO-00097,Sierra Live Productions,SIERRA LIVE PRODUCTIONS L.L.C.,5.0,7500.0,1875.0,375.0,243.75,,131.25,MKD EXPRESS LLC,37207.0,5250.0,JAN 2026 INV,false,,,
37342,Funded,2026-01-12,2026-01-12,REF#477324 | PO#INV132830,Rentex,"RENTEX, INC/ HQ",2.0,550.0,172.5,27.5,17.875,17.875,9.625,ACIES TRANSPORT LLC,37342.0,350.0,JAN 2026 INV,true,,27.5,triumph
37378,Funded,2026-01-12,2026-01-12,REF# TRANSFER RENTEX PHX-LV 1/9 PO#INV13,Rentex,"RENTEX, INC/ HQ",2.0,1100.0,195.0,55.0,35.75,35.75,19.25,STOMPDOWN PRODUCTIONS LLC,37378.0,850.0,JAN 2026 INV,true,,55.0,triumph
37021,Funded,2026-01-12,2026-01-12,REF#473608/473492 / PO#INV131892,Rentex,"RENTEX, INC/ HQ",2.0,750.0,212.5,37.5,24.375,24.375,13.125,GALLO EXPRESS LLC,37021.0,500.0,JAN 2026 INV,true,,37.5,triumph
37421,Funded,2026-01-12,2026-01-12,MT2026011200065,Gofo Inc,GOFO INC.,4.0,650.0,117.5,32.5,21.125,21.125,11.375,MOVE FOR LESS TRANSPORTATION LLC,37421.0,500.0,JAN 2026 INV,true,,32.5,triumph
37226,Funded,2026-01-12,2026-01-12,MT2026010600066,Gofo Inc,GOFO INC.,4.0,650.0,117.5,32.5,21.125,21.125,11.375,DIMALA JOE TRUCKING LLC,37226.0,500.0,JAN 2026 INV,true,,32.5,triumph
37400,Funded,2026-01-13,2026-01-13,REF#472684 / PO#INV131951,Rentex,"RENTEX, INC/ HQ",1.0,875.0,181.25,43.75,28.4375,28.4375,15.3125,IMANI LOGISTICS LLC,37400.0,650.0,JAN 2026 INV,true,,43.75,triumph
37395,Funded,2026-01-13,2026-01-13,TPO-00117,Sierra Live Productions,SIERRA LIVE PRODUCTIONS L.L.C.,1.0,1150.0,242.5,57.5,37.375,,20.125,G&R TRUCKING LLC,37395.0,850.0,JAN 2026 INV,false,,,
37031,Funded,2026-01-13,2026-01-13,REF#472684 / PO#INV131951,Rentex,"RENTEX, INC/ HQ",1.0,875.0,231.25,43.75,28.4375,28.4375,15.3125,HYNES TRUCKING AND LOGISTICS LLC,37031.0,600.0,JAN 2026 INV,true,,43.75,triumph
37116,Funded,2026-01-13,2026-01-13,REF#472217 | PO#INV132223,Rentex,"RENTEX, INC/ HQ",1.0,1200.0,140.0,60.0,39.0,39.0,21.0,DCJ912 TRUCKING LLC,37116.0,1000.0,JAN 2026 INV,true,,60.0,triumph
37231,Funded,2026-01-13,2026-01-13,REF#473420/PO#INV132570,Rentex,"RENTEX, INC/ HQ",1.0,2200.0,90.0,110.0,71.5,71.5,38.5,SOLID TRANSPORT LLC,37231.0,2000.0,JAN 2026 INV,true,,110.0,triumph
